City,Name,"Fuel (W=waste, B=biomass)",Heat output (MWheat),Electric output (MWe),Existing FGC heat output (MWheat),Year of commissioning,Live steam temperature (degC),Live steam pressure (bar),Latitude,Longitude,mean_captured,Size,Origin,Route_Length,density_bio,density_w2e
Landskrona,Energiknuten KVV,B,22.0,7.0,5,2012,450,74,55.884298878057706,12.851098197496896,52.02851891908205,19.58008864608177,Malmo,936.2,0.2,
Lycksele,Skogsbacka,B,34.0,16.0,0,2000,520,87,64.60250143052365,18.66642124121321,90.05168825387382,38.303920178186196,Lulea,2321.3,0.2565,
Mala,Mala KVV,B,10.0,3.0,0,1991,480,41,65.18692252135216,18.73131469689804,23.379907117196204,5.472590760145572,Lulea,2321.3,0.008571428571428572,
Mariestad,Mariestad KVV 1 ,B,27.2,9.5,11,2002,480,80,58.705107212079405,13.799073583910657,64.72108969364413,25.830318730788466,Goteborg,616.6,0.316,
Mariestad,Mariestad KVV 2 ,B,20.5,7.3,6,2014,475,62,58.705107212079405,13.799073583910657,49.55317000203826,18.361147223871185,Goteborg,616.6,0.18355555555555556,
Mjolby,Mjolby KVV,B,23.0,10.8,7,2015,500,80,58.33432721512093,15.140848229479609,60.69150358642417,23.846020926695164,Stockholm/Norvik,1521.1,0.16285714285714287,
Mora,Siljan Timber,B,11.0,1.4,3,1990,350,15,60.98778504692577,14.543626594460868,22.69163126557134,5.13366159356377,Sundsvall,1874.9,0.0104,
Motala,Bergsattersverken ,B,16.0,3.75,0,2006,220,16,58.55060242984928,15.020021125853372,35.36305413905083,11.373477771590526,Stockholm/Norvik,1521.1,0.038,
Motala,Motala KVV ,B,13.3,3.7,4,2006,220,16,58.55060242984928,15.020021125853372,30.79047241654672,9.121791461985433,Stockholm/Norvik,1521.1,0.02109090909090909,
Munkfors,Munkfors KVV,B,10.0,2.0,0,2011,400,40,59.84107327301423,13.521964647922744,21.722625246645293,4.65649186338652,Goteborg,616.6,0.022,
Molndal,Riskulla,B,46.0,24.0,21,2009,520,123,57.63669527696878,12.045105864559073,127.25219306391836,56.62264523867643,Goteborg,616.6,0.5782857142857143,
Norrtalje,Arstaverket,B,15.0,6.4,5,2007,485,70,59.76213848752786,18.71773376853553,37.84928150598344,12.597776092413516,Stockholm/Norvik,1521.1,0.074,
Nykoping,Idbacksverket,B,60.0,35.0,17,1994,543,143,58.76562730501664,17.032556606528065,170.33522915831347,77.8381179053619,Stockholm/Norvik,1521.1,0.5753333333333334,
Nassjo,Nassjo KVV,B,26.0,9.0,0,1989,490,80,57.64939887536507,14.67560778667666,62.20232734398801,24.589999138039108,Goteborg,616.6,0.2904,
Oskarshamn,Solkustens KVV,B,17.7,3.8,4,2015,220,16,57.25406922591746,16.44310720052065,38.82333592545965,13.077431817395027,Stockholm/Norvik,1521.1,0.06342857142857143,
SalaHeby,Silververket,B,23.0,9.0,8,2000,480,80,59.91415524213374,16.62351757146192,57.433721478673085,22.24178423572524,Stockholm/Norvik,1521.1,0.15885714285714286,
Sandviken,Bjorksatra KVV,B,55.0,5.2,8,1991,450,20,60.60665528772128,16.789738251287506,108.46826727978245,47.37283602900869,Stockholm/Norvik,1521.1,0.5235,
Skelleftea,Hedensbyn,B,64.0,34.0,22,1996,540,140,64.74378391495799,20.918987421139303,176.1223574933836,80.68788603085513,Lulea,2321.3,0.5293333333333333,
Skovde,Varmekallan Block 4 ,B,29.0,9.0,9,2016,480,90,58.4003355787732,13.880144467738116,68.52797695700828,27.704952461431287,Goteborg,616.6,0.4074285714285714,
Stockholm (North),Bristaverket 1 ,B,74.0,42.0,30,1997,540,144,59.60918152892021,17.86462908991045,209.76753152919986,97.25585186684683,Stockholm/Norvik,1521.1,0.6192,
Stockholm (South),Vartaverket KVV 8 ,B,215.0,130.0,90,2016,560,140,59.35317290935463,18.10373426112216,621.4874865441208,300.0,Stockholm/Norvik,1521.1,0.932,
Storuman,Biostor,B,24.0,8.0,0,2008,400,40,65.1052267449403,17.11746072167879,57.12753944378994,22.09101035391568,Lulea,2321.3,0.102,
Strangnas,Strangnas KVV,B,20.0,9.0,9,2008,427,72,59.37592714110657,17.009375250228366,52.28374325862826,19.70576931973838,Stockholm/Norvik,1521.1,0.09266666666666666,
Sveg,Sveg KVV,B,17.0,10.0,0,2017,500,80,62.02765756796384,14.35690606298884,49.08251447498739,18.12938130450342,Sundsvall,1874.9,0.053714285714285714,
Sater,Sater KVV,B,5.0,1.7,0,2011,450,40,60.3462830954656,15.713474729693557,12.266516953636842,0.0,Stockholm/Norvik,1521.1,0.0,
Soderhamn,Granskars KVV,B,21.5,8.5,7,2007,510,60,61.30552289424016,17.08296001977274,53.55435933699274,20.33146154396627,Sundsvall,1874.9,0.0912,
Sodertalje,Igelsta KVV,B,155.0,85.0,60,2009,540,90,59.181268344773,17.58529316222597,430.15494399234984,205.7817021562551,Stockholm/Norvik,1521.1,0.848,
Tidaholm,Eldaren,B,8.0,2.2,0,2008,400,40,58.17405079539004,13.969600265303118,18.445209545950192,3.0425869597692823,Goteborg,616.6,0.009714285714285713,
Tranas,Sodra Vakten 1 ,B,10.0,1.8,2,2002,345,15,58.02958545507644,15.00478709538197,20.863490702706798,4.233426381325389,Stockholm/Norvik,1521.1,0.008,
